Compound,DateHapp,Negative,Neutral,Positive,Tweets Ago,source
0.3291,2017-12-02 21:59:04+00:00,0.895,0.0,0.105,100,BBC
0.0,2017-12-03 00:21:41+00:00,1.0,0.0,0.0,100,fox
0.6369,2017-12-03 05:28:40+00:00,0.588,0.0,0.412,100,nytimes
0.2732,2017-12-03 05:30:06+00:00,0.896,0.0,0.104,100,CNN
0.6166,2017-12-02 15:55:39+00:00,0.825,0.0,0.175,100,CBS
0.2023,2017-12-03 05:11:53+00:00,0.663,0.148,0.189,99,nytimes
0.0,2017-12-02 20:00:05+00:00,1.0,0.0,0.0,99,BBC
0.8904,2017-12-02 04:47:26+00:00,0.274,0.0,0.726,99,fox
0.1867,2017-12-02 14:30:03+00:00,0.902,0.0,0.098,99,CBS
0.4019,2017-12-03 05:15:08+00:00,0.847,0.0,0.153,99,CNN
0.4215,2017-12-03 05:00:08+00:00,0.877,0.0,0.123,98,nytimes
0.8074,2017-12-03 05:00:13+00:00,0.644,0.0,0.356,98,CNN
0.6369,2017-12-02 19:57:21+00:00,0.811,0.0,0.189,98,BBC
0.6996,2017-12-02 13:00:07+00:00,0.821,0.0,0.179,98,CBS
0.4215,2017-12-02 04:46:50+00:00,0.877,0.0,0.123,98,fox
-0.6369,2017-12-03 04:46:01+00:00,0.42,0.346,0.234,97,CNN
-0.2481,2017-12-02 04:34:43+00:00,0.686,0.177,0.137,97,fox
0.7096,2017-12-03 04:59:05+00:00,0.688,0.0,0.312,97,nytimes
-0.3595,2017-12-02 12:00:03+00:00,0.872,0.128,0.0,97,CBS
0.0,2017-12-02 19:49:59+00:00,1.0,0.0,0.0,97,BBC
0.0,2017-12-02 04:33:29+00:00,1.0,0.0,0.0,96,fox
0.3612,2017-12-01 22:43:05+00:00,0.884,0.0,0.116,96,CBS
0.0,2017-12-03 04:31:07+00:00,1.0,0.0,0.0,96,CNN
0.5093,2017-12-02 19:48:25+00:00,0.829,0.0,0.171,96,BBC
-0.7506,2017-12-03 04:47:04+00:00,0.758,0.242,0.0,96,nytimes
0.2023,2017-12-02 19:30:03+00:00,0.674,0.131,0.195,95,BBC
0.0,2017-12-03 04:37:03+00:00,1.0,0.0,0.0,95,nytimes
0.765,2017-12-02 04:15:03+00:00,0.752,0.0,0.248,95,fox
-0.5574,2017-12-03 04:15:06+00:00,0.662,0.338,0.0,95,CNN
0.4199,2017-12-01 22:15:28+00:00,0.866,0.0,0.134,95,CBS
0.1531,2017-12-03 04:24:07+00:00,0.593,0.193,0.215,94,nytimes
0.0,2017-12-03 04:00:26+00:00,1.0,0.0,0.0,94,CNN
0.7707,2017-12-01 21:00:12+00:00,0.718,0.0,0.282,94,CBS
0.5106,2017-12-02 18:30:02+00:00,0.471,0.178,0.351,94,BBC
0.4404,2017-12-01 05:51:08+00:00,0.497,0.161,0.342,94,fox
0.8126,2017-12-03 04:11:03+00:00,0.641,0.0,0.359,93,nytimes
0.0,2017-12-02 18:02:04+00:00,1.0,0.0,0.0,93,BBC
0.0,2017-12-01 20:17:18+00:00,1.0,0.0,0.0,93,CBS
-0.4404,2017-12-03 03:45:03+00:00,0.838,0.162,0.0,93,CNN
0.0,2017-12-01 05:48:18+00:00,1.0,0.0,0.0,93,fox
0.0,2017-12-01 03:04:01+00:00,1.0,0.0,0.0,92,fox
0.2263,2017-12-02 17:30:05+00:00,0.863,0.0,0.137,92,BBC
0.0,2017-12-03 04:00:34+00:00,1.0,0.0,0.0,92,nytimes
0.8221,2017-12-01 19:32:18+00:00,0.691,0.0,0.309,92,CBS
0.0,2017-12-03 03:31:41+00:00,1.0,0.0,0.0,92,CNN
0.2732,2017-12-03 03:48:06+00:00,0.9,0.0,0.1,91,nytimes
0.5984,2017-11-30 23:08:54+00:00,0.786,0.0,0.214,91,fox
-0.25,2017-12-03 03:15:06+00:00,0.867,0.133,0.0,91,CNN
-0.2401,2017-12-02 16:33:03+00:00,0.897,0.103,0.0,91,BBC
0.0,2017-12-01 18:40:34+00:00,1.0,0.0,0.0,91,CBS
0.5574,2017-11-30 20:41:13+00:00,0.827,0.0,0.173,90,fox
0.0,2017-12-03 03:00:31+00:00,1.0,0.0,0.0,90,CNN
0.4019,2017-12-03 03:35:05+00:00,0.856,0.0,0.144,90,nytimes
0.0,2017-12-01 18:16:37+00:00,1.0,0.0,0.0,90,CBS
0.0,2017-12-02 16:00:03+00:00,1.0,0.0,0.0,90,BBC
-0.296,2017-12-03 02:45:04+00:00,0.864,0.136,0.0,89,CNN
-0.7269,2017-12-03 03:25:05+00:00,0.724,0.276,0.0,89,nytimes
0.0,2017-12-01 18:10:11+00:00,1.0,0.0,0.0,89,CBS
0.4404,2017-12-02 15:05:11+00:00,0.861,0.0,0.139,89,BBC
0.4023,2017-11-30 10:00:47+00:00,0.895,0.0,0.105,89,fox
-0.5423,2017-12-02 15:00:05+00:00,0.72,0.28,0.0,88,BBC
0.6486,2017-11-30 05:49:08+00:00,0.773,0.0,0.227,88,fox
-0.802,2017-12-03 02:30:14+00:00,0.702,0.298,0.0,88,CNN
